,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,1,Conv2d,0.14171923202854497,-1.0,3.0,64.0,23.859005104444122,-35.021797566476145,power_law,0.993367509262168,True,0.034051405327607295,LAYER_TYPE.CONV2D,-34.639777077146775,0.48164639765684225,-1.4678649597150542,147.0,3.0314219968988896,147.0,13.0,0.0,49.0,6.3399473084743345,0.034051405327607295,89.02487188806724,0.1845302287637646,under-trained,0.0,0.034051405327607295,0.02937530192997158
0,7,Conv2d,0.18622901001731373,-1.0,64.0,64.0,5.9832190210095115,3.495821438283859,power_law,0.8710794328830803,True,3.839467652221399,LAYER_TYPE.CONV2D,3.947422298068313,1.7915790202993085,0.5842710129795701,64.0,61.884091601089,64.0,11.0,0.0,1.0,1.5024970673500648,3.839467652221399,16.117883312621412,1.959455958224476,success,0.0,3.839467652221399,2.279247948704935
0,9,Conv2d,0.1428571428571429,-1.0,64.0,64.0,43.58413227622185,-14.931444447438075,power_law,0.9200858515379833,True,0.4543714095786933,LAYER_TYPE.CONV2D,-14.750727226583084,1.8089845699192912,-0.3425890035577055,576.0,64.41463791843553,576.0,7.0,0.0,9.0,16.095289114337415,0.4543714095786933,141.76648565578256,0.6740707749032688,under-trained,3.0,0.4543714095786933,0.4203104046639347
0,11,Conv2d,0.2292828732325034,-1.0,64.0,256.0,4.184633339168088,1.3925435111881979,lognormal,0.9686651666548841,True,2.1516692544439313,LAYER_TYPE.CONV2D,2.332592090799897,1.8090435052087133,0.3327755142019295,64.0,64.42337980460702,64.0,26.0,0.0,1.0,0.624557982309855,2.1516692544439313,29.941116494345383,1.46685693046184,success,0.0,2.1516692544439313,1.1025990874257092
0,15,Conv2d,0.23146871501293176,-1.0,64.0,256.0,4.379058713616173,1.4354362206795812,lognormal,0.9706355403467504,True,2.127137723641962,LAYER_TYPE.CONV2D,2.3472986053314586,1.8069187379860243,0.32779560964009447,64.0,64.10896093527805,64.0,25.0,0.0,1.0,0.6758117427232346,2.127137723641962,30.13860373155077,1.4584710225582003,success,0.0,2.127137723641962,1.1173368309414458
0,18,Conv2d,0.22339608908967867,-1.0,64.0,256.0,2.9770327252646838,2.8025251711635395,lognormal,0.9703412775223083,True,8.737396623895435,LAYER_TYPE.CONV2D,3.8509985106493687,2.4081141411875473,0.9413820504490326,64.0,255.92584223028396,64.0,42.0,0.0,1.0,0.3050627724930248,8.737396623895435,29.29085782032215,2.9559087644742075,success,0.0,8.737396623895435,2.9118552895202283
0,20,Conv2d,0.20325445180545432,-1.0,64.0,64.0,3.6854114044442174,-1.3528775951843164,power_law,0.9206539218335112,True,0.4294474427452518,LAYER_TYPE.CONV2D,0.23393200001445535,1.7988457516660998,-0.36708997903270413,576.0,62.92826409002463,576.0,130.0,0.0,9.0,0.23552616074063532,0.4294474427452518,146.53309771215396,0.6553223960351514,success,3.0,0.4294474427452518,0.19011649759192525
0,22,Conv2d,0.21863502627362896,-1.0,64.0,256.0,4.653878144399181,1.5655012117993674,lognormal,0.9703364284424246,True,2.169633499501702,LAYER_TYPE.CONV2D,2.4212408839528443,1.808622222211447,0.3363863778176931,64.0,64.36091685319592,64.0,23.0,0.0,1.0,0.761886260315347,2.169633499501702,29.664418837549125,1.4729675826377517,success,0.0,2.169633499501702,1.1774425176979548
0,26,Conv2d,0.2271060295583449,-1.0,64.0,256.0,3.2409301275394706,3.079331706343315,lognormal,0.9681718038392553,True,8.915347141794326,LAYER_TYPE.CONV2D,4.102972333935751,2.4150292223695753,0.9501382582046464,64.0,260.03345259687626,64.0,36.0,0.0,1.0,0.37348835458991175,8.915347141794326,29.16694644203627,2.985857856930622,success,0.0,8.915347141794326,3.413471305362309
0,28,Conv2d,0.18177294530349308,-1.0,64.0,64.0,16.53936762561129,-6.070489535927973,lognormal,0.920292257046972,True,0.42950403959752415,LAYER_TYPE.CONV2D,-5.2777311389394415,1.7965346015554442,-0.3670327471606466,576.0,62.59427326862824,576.0,20.0,0.0,9.0,3.4747082338226347,0.42950403959752415,145.73616892470565,0.6553655770617832,under-trained,2.0,0.42950403959752415,0.3642233660093396
0,30,Conv2d,0.24119937992863139,-1.0,64.0,256.0,4.581552903479162,1.4510610423787174,lognormal,0.9698695881106552,True,2.0735674555984045,LAYER_TYPE.CONV2D,2.35322963210381,1.7960465890932877,0.3167181680422818,64.0,62.52397619935495,64.0,22.0,0.0,1.0,0.7635896446872737,2.0735674555984045,30.152853735501623,1.4399886998162188,success,0.0,2.0735674555984045,1.1617228885546316
0,35,Conv2d,0.223975766779812,-1.0,128.0,256.0,3.2971863250774405,2.4332394858532234,lognormal,0.9485916239107441,True,5.469838667580114,LAYER_TYPE.CONV2D,3.607537823420459,2.402943471318474,0.7379745170440358,128.0,252.8968799133869,128.0,53.0,0.0,1.0,0.3155428091078537,5.469838667580114,46.23479690768829,2.338768622070194,success,0.0,5.469838667580114,2.108919390691465
0,37,Conv2d,0.17525401343932567,-1.0,128.0,128.0,20.54330665215855,-7.261832201232475,lognormal,0.9287050150383989,True,0.4431094735708004,LAYER_TYPE.CONV2D,-6.321621240715415,2.107443942573443,-0.35348896476066827,1152.0,128.0689776279597,1152.0,24.0,0.0,9.0,3.9892607653773853,0.4431094735708004,289.02333456316126,0.6656646855367951,under-trained,3.0,0.4431094735708004,0.3916131126606346
0,39,Conv2d,0.17387538108138023,-1.0,128.0,512.0,6.92938842735197,2.4037825837507087,lognormal,0.9743556255550869,True,2.222781570700862,LAYER_TYPE.CONV2D,3.2858767290225575,2.1072601172014735,0.3468967873502946,128.0,128.0147808865516,128.0,28.0,0.0,1.0,1.120549086105549,2.222781570700862,57.59215506100649,1.4908995843787944,under-trained,0.0,2.222781570700862,1.4610692306752755
