,layer_id,name,D,Lambda,M,N,W_scale,alpha,alpha_weighted,best_fit,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,3,Conv2d,0.10627531001128826,-1.0,3.0,64.0,1.2582147053425088,2.1612946845062564,1.3628744532997485,power_law,0.36465768724201947,0.15126121098704653,0.891664077169528,True,4.271519857214615,LAYER_TYPE.CONV2D,2.2508988100875733,1.9678078213862602,0.630582429628792,147.0,2.590014126202917,0.08536954045200353,92.85554030216738,147.0,81.0,49.0,1.2582147053425088,0.35036948471659335,0.14533441746962442,0.11405826623937126,0.13527705550789854,73.0,0.6122143617112333,0.0,49.0,0.12903274272291737,0.6245727940234918,4.271519857214615,21.73829068015076,2.0667655544871595,success,0.0,4.271519857214615,0.32397437420096137
0,9,Conv2d,0.2761343765124664,-1.0,64.0,64.0,1.9232238897525507,1.324445049566396,0.24826326543304186,power_law,1.1331260541837493,0.0,0.7469357510746683,True,1.5397386475812398,LAYER_TYPE.CONV2D,1.2161410282426335,1.2381202839009218,0.1874470107418346,64.0,1.3236850864199188,0.7359210317697525,17.302955222823453,64.0,48.0,4.0,1.9232238897525507,1.1101060400741247,0.0,0.20938018528888072,0.8386481433258066,2.0,1.0131694409632506,0.0,1.0,0.04682960917610005,1.023620469875301,1.5397386475812398,11.237592334260423,1.240862058240657,over-trained,5.0,1.5397386475812398,0.004595619377225984
0,11,Conv2d,0.08499147508400595,-1.0,64.0,64.0,5.060335145300506,1.8838363697952194,0.27963714809904894,power_law,0.16203729049078508,0.0,0.749091837834069,True,1.407473586610863,LAYER_TYPE.CONV2D,0.951945501192215,1.3520639213109644,0.14844025340133263,576.0,0.33440938549056903,0.11512634555435178,22.49385655630645,576.0,131.0,33.0,5.060335145300506,0.15971023559783504,0.0,0.2748700669718684,0.4775889748535157,18.0,1.0111501731415793,0.0,9.0,0.07722114217146485,1.0184900056086454,1.407473586610863,15.981725533102692,1.1863699198019406,over-trained,50.0,1.407473586610863,0.030431433777169246
0,13,Conv2d,0.0769230769230772,-1.0,64.0,256.0,2.041283933088349,3.8828831955364644,1.4813438834190484,lognormal,0.1350121085447024,0.015001345393855824,0.8126444608092545,True,2.407166698651107,LAYER_TYPE.CONV2D,1.520498756613328,1.1863731394688075,0.3815061666346067,64.0,0.6040316136688253,0.05608756079101566,15.359360698615012,64.0,13.0,24.0,2.0412839330883488,0.5265538248087528,0.05850598053430586,0.2743227563882412,0.8717322287330617,3.0,0.9874919048093295,0.0,1.0,0.7995679371292462,0.500032828815598,2.407166698651107,6.3806801195870095,1.5515046563420642,success,3.0,2.407166698651107,0.49311576260471274
0,17,Conv2d,0.1661267579709954,-1.0,64.0,256.0,1.31220245750554,2.6491784964039153,1.4770413096806732,power_law,0.21032764088544223,0.023369737876160243,0.824474058352482,True,3.6103301603228672,LAYER_TYPE.CONV2D,2.055580037529398,1.5701782804379332,0.557546919426403,64.0,2.0195203196618774,0.05825717636489869,37.168777780181024,64.0,18.0,31.0,1.3122024575055402,1.2006499040909815,0.13340554489899795,0.2500842761708116,0.5945223191871637,14.0,0.9585566467177132,0.0,1.0,0.38871509939808097,0.40119707960387135,3.6103301603228672,10.295118764666405,1.9000868823090347,success,1.0,3.6103301603228672,0.7507530986018464
0,20,Conv2d,0.16666666666666718,-1.0,64.0,256.0,2.381903144945136,7.716057549392637,0.26051200310643524,power_law,0.1360483259752402,0.015116480663915579,0.8299451313970978,True,1.080842267423783,LAYER_TYPE.CONV2D,0.3729365633255774,1.0523317783058812,0.03376231986851125,64.0,0.4227627797245538,0.12587250709533696,11.280589051803755,64.0,6.0,20.0,2.3819031449451367,0.3984770249772218,0.044275224997469095,0.25683638098804784,0.9425546526041032,0.0,1.002384821854513,0.0,1.0,2.7418190131964657,0.5857056857087786,1.080842267423783,10.436850400652212,1.039635641666725,under-trained,4.0,1.080842267423783,0.6666909443968084
0,22,Conv2d,0.072912697867065,-1.0,64.0,64.0,5.122497891774142,2.0561637019647105,0.010248799239741254,power_law,0.15602692057575368,0.0,0.799677648943037,True,1.0115431830834698,LAYER_TYPE.CONV2D,0.7326421950662894,1.341458906754949,0.00498442766495114,576.0,0.3102500950384003,0.15424642584228532,21.95123235230202,576.0,127.0,32.0,5.122497891774141,0.15526890157578702,0.0,0.22110113727517922,0.5004636712732322,11.0,1.0092390195293275,0.0,9.0,0.09371937359474063,1.0116995602804397,1.0115431830834698,21.700736774665867,1.005755031348822,success,36.0,1.0115431830834698,0.03902717096875163
0,24,Conv2d,0.15580849083724913,-1.0,64.0,256.0,2.249090968549507,4.064163551984737,-0.15072759867228544,power_law,0.20063024422302841,0.022292249358114274,0.8884486342632717,True,0.9181486682164774,LAYER_TYPE.CONV2D,0.20566385199385878,1.1021659307514864,-0.03708699139302047,64.0,0.49816500047327045,0.21851607606506337,12.652196571993061,64.0,16.0,20.0,2.249090968549507,0.43288494559549096,0.048098327288387886,0.16798169269372126,0.8689589697875971,2.0,0.9865111628926501,0.0,1.0,0.7660408879961842,0.6716050660780659,0.9181486682164774,13.78011754520127,0.9582007452598216,success,0.0,0.9181486682164774,0.3417776903290306
0,28,Conv2d,0.16836997646174634,-1.0,64.0,256.0,2.503790757702404,1.7909756539707808,-0.1325960001674668,power_law,0.14629278204950497,0.016254753561056108,0.8473921923719129,True,0.8432655840737708,LAYER_TYPE.CONV2D,0.6969747438471237,1.0089839100287077,-0.07403562403178825,64.0,0.36161584749461184,0.17348363885879511,10.209016601032449,64.0,43.0,18.0,2.5037907577024043,0.36034565913930083,0.04003840657103343,0.24025224017241809,0.9964874649047842,0.0,1.001996997810112,0.0,1.0,0.1206226563984411,0.6384372561064531,0.8432655840737708,12.106525860705991,0.9182949330546101,over-trained,0.0,0.8432655840737708,0.04183403666876701
0,30,Conv2d,0.1030968559965213,-1.0,64.0,64.0,5.0093878289217955,1.902644356741026,-0.4008928268453236,power_law,0.1619359370276153,0.0,0.8301308977876624,True,0.6155977512862838,LAYER_TYPE.CONV2D,0.7008099548519525,1.3608531709164322,-0.21070297526963952,576.0,0.2109623555175693,0.2630547897377016,22.95372482559414,576.0,205.0,34.0,5.0093878289217955,0.16215899174171722,0.0,0.21155308560176722,0.7686631643066401,5.0,1.0086144324712079,0.0,9.0,0.06304341650533755,1.0079205035680205,0.6155977512862838,37.28688868280077,0.7846003768073807,over-trained,4.0,0.6155977512862838,0.022588294775205485
